titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
movie,Santorini Blue,Santorini Blue,0,2013,\N,90,"Comedy,Drama"
movie,War of the Dead,War of the Dead,0,2011,\N,86,"Action,Adventure,Horror"
movie,The Wolfman,The Wolfman,0,2010,\N,103,"Drama,Fantasy,Horror"
movie,Escalade,Escalade,0,2011,\N,80,Thriller
movie,Irreversi,Irreversi,0,2010,\N,\N,Thriller
movie,The Last Full Measure,The Last Full Measure,0,2018,\N,\N,"Drama,War"
tvEpisode,I Called Him Magoo,I Called Him Magoo,0,2010,\N,22,"Comedy,Romance"
movie,The Attack,The Attack,0,2012,\N,102,Drama
movie,The Boxtrolls,The Boxtrolls,0,2014,\N,96,"Adventure,Animation,Comedy"
movie,The Man Who Knew Infinity,The Man Who Knew Infinity,0,2015,\N,108,"Biography,Drama"
movie,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,0,2013,\N,100,"Adventure,Comedy,Fantasy"
movie,Dallas Buyers Club,Dallas Buyers Club,0,2013,\N,117,"Biography,Drama"
movie,Elliot Loves,Elliot Loves,0,2012,\N,92,"Comedy,Romance"
movie,The First Grader,The First Grader,0,2010,\N,103,"Biography,Drama,Romance"
movie,Jack Reacher,Jack Reacher,0,2012,\N,130,"Action,Crime,Mystery"
movie,R.I.P.D.,R.I.P.D.,0,2013,\N,96,"Action,Adventure,Comedy"
movie,Miles Ahead,Miles Ahead,0,2015,\N,100,"Biography,Drama,Music"
movie,The Yellow Wallpaper,The Yellow Wallpaper,0,2012,\N,115,Thriller
tvEpisode,Avotar,Avotar,0,2010,\N,\N,Comedy
movie,Wilde Salomé,Wilde Salomé,0,2011,\N,95,"Documentary,Drama"
